city;date;description;summ
Алматы;27 июля;2022 г., новый кроссовер, 2 л, бензин, КПП вариатор;17584000
Алматы;26 июля;2021 г., Б/у внедорожник, 3.8 л, бензин, КПП автомат, с пробегом 7 429 км, белый, литые диски, тонировка, люк, панорам...;30000000
Алматы;26 июля;2018 г., Б/у минивэн, 2 л, дизель, КПП робот, с пробегом 98 000 км, коричневый, металлик, литые диски, тонировка, Добр...;30499000
Алматы;27 июля;2018 г., Б/у кроссовер, 2 л, бензин, КПП автомат, с пробегом 25 000 км, серый, литые диски, тонировка, спойлер, ветров...;33000000
Алматы;27 июля;2021 г., Б/у кроссовер, 1.6 л, бензин, КПП вариатор, с пробегом 31 500 км, белый, тонировка, ксенон, дневные ходовые о...;7500000
Алматы;27 июля;2018 г., Б/у седан, 1.6 л, бензин, КПП автомат, с пробегом 75 000 км, серый, металлик, литые диски, тонировка, ветрови...;8200000
Алматы;27 июля;2019 г., Б/у внедорожник, 2.7 л, бензин, КПП автомат, с пробегом 50 000 км, черный, металлик, литые диски, тонировка,...;25000000
Алматы;27 июля;2020 г., Б/у седан, 2.5 л, бензин, КПП автомат, с пробегом 35 000 км, черный, металлик, В идеальном состоянии, любые п...;18600000
Алматы;27 июля;2015 г., Б/у седан, 2.5 л, бензин, КПП автомат, белый, металлик, литые диски, тонировка, люк, спойлер, ветровики, ксен...;12900000
Алматы;27 июля;2020 г., Б/у седан, 3.5 л, бензин, КПП автомат, с пробегом 24 000 км, белый, Срочная продажа, все вопросы по телефону;23800000
Алматы;27 июля;2019 г., Б/у кроссовер, 1.6 л, бензин, КПП автомат, с пробегом 138 000 км, серый, металлик, тонировка, велюр, аудиосис...;10000000
Алматы;27 июля;2020 г., Б/у кроссовер, 2 л, бензин, КПП автомат, с пробегом 27 000 км, серый, металлик, литые диски, тонировка, ксено...;13700000
Алматы;27 июля;2022 г., Б/у седан, 2.5 л, бензин, КПП автомат, с пробегом 11 703 км, белый, литые диски, тонировка, панорамная крыша,...;17500000
Алматы;27 июля;2019 г., Б/у внедорожник, 4.6 л, бензин, КПП автомат, с пробегом 60 000 км, Авто в идеальном состояние! Вся в родной к...;38400000
Алматы;27 июля;2018 г., Б/у кроссовер, 3.5 л, бензин, КПП автомат, с пробегом 60 000 км, Куплен в Тойоте центре, там и обслуживался....;22500000
Алматы;27 июля;2020 г., Б/у кроссовер, 6.7 л, бензин, КПП автомат, с пробегом 10 000 км, черный, металлик, литые диски, тонировка, лю...;280000000
Алматы;27 июля;2016 г., Б/у седан, 2 л, бензин, КПП автомат, с пробегом 136 680 км, черный, металлик, литые диски, тонировка, ветрови...;7800000
Алматы;27 июля;2020 г., Б/у седан, 2.5 л, бензин, КПП автомат, с пробегом 55 000 км, белый, металлик, литые диски, тонировка, ветрови...;16900000
Алматы;27 июля;2020 г., Б/у кроссовер, 2 л, бензин, КПП вариатор, с пробегом 28 000 км, коричневый, литые диски, тонировка, спойлер,...;18800000
Алматы;27 июля;2019 г., Б/у седан, 2.5 л, бензин, КПП автомат, с пробегом 38 888 км, литые диски, тонировка, ксенон, линзованная опти...;15700000
